id,is_entire_condo,is_entire_rental_unit,is_entire_home,is_room_in_hotel,is_entire_serviced_apartment,is_entire_townhouse,room_type,accommodates,beds,bedrooms,bathrooms,host_years,host_is_superhost,host_listings_count,calculated_host_listings_count,calculated_host_listings_count_entire_homes,host_response_time,host_response_rate,host_acceptance_rate,host_has_profile_pic,neighbourhood_group,neighbourhood,latitude,longitude,availability_365,availability_30,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_communication,instant_bookable,price,has_license,has_air_conditioning,has_hot_water,has_kitchen,has_gym,has_wifi,has_hair_dryer,has_microwave,has_refrigerator,has_pool,has_washer,review_scores_rating_missing,review_scores_cleanliness_missing,review_scores_location_missing,review_scores_communication_missing,host_response_rate_missing,host_acceptance_rate_missing,reviews_per_month_missing,drive_dist_hnl_km,drive_time_hnl_min,drive_dist_wk_km,drive_time_wk_min
924709530526307996,False,True,False,False,False,False,Entire home/apt,4.0,4.0,0.0,1.0,6.0013689253935665,False,28.0,25,25.0,within an hour,0.88,1.0,True,Honolulu,Primary Urban Center,21.278200615187085,-157.831973985889,287,18.0,1,1125.0,1.0,1054.9,8,5,0.0,0.38,4.63,4.38,5.0,4.63,True,181.0,True,True,False,True,False,False,False,True,False,False,False,0,0,0,0,0,0,0,24.7,40.0,0.9,3.8
929754155078074778,False,True,False,False,False,False,Entire home/apt,4.0,2.0,1.0,1.0,3.67419575633128,False,197.0,61,61.0,within a few hours,0.98,0.1,True,Honolulu,Primary Urban Center,21.28346625168397,-157.83069937842956,71,30.0,2,365.0,2.0,365.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,225.0,True,True,True,False,True,True,True,False,False,True,False,1,1,1,1,0,0,1,25.3,33.0,1.4,5.6
930044495744833319,False,False,False,False,False,False,Entire home/apt,2.0,2.0,0.0,1.0,2.42299794661191,False,1.0,1,1.0,missing,0.0,1.0,True,Honolulu,East Honolulu,21.29139,-157.70776,75,0.0,30,500.0,30.0,1125.0,33,7,0.0,1.26,4.33,4.45,4.88,4.67,False,145.0,True,True,True,True,False,True,True,True,True,True,True,0,0,0,0,1,0,0,37.4,38.8,15.6,22.6
930479219166023021,False,False,False,False,True,False,Entire home/apt,10.0,6.0,2.0,2.0,2.7926078028747434,False,2910.0,189,79.0,within an hour,1.0,0.9,True,Honolulu,Primary Urban Center,21.27851,-157.83271,0,0.0,1,1125.0,1.0,75.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,50000.0,True,True,False,False,True,True,True,False,True,True,False,1,1,1,1,0,0,1,24.6,39.5,0.8,3.3
930480508458944175,False,False,False,False,True,False,Entire home/apt,8.0,0.0,2.0,2.0,2.7926078028747434,False,2910.0,189,79.0,within an hour,1.0,0.9,True,Honolulu,Primary Urban Center,21.27851,-157.83271,0,0.0,1,1125.0,1.0,224.4,1,0,0.0,0.08,5.0,5.0,5.0,5.0,True,40000.0,True,True,False,False,True,True,True,False,True,True,False,0,0,0,0,0,0,0,24.6,39.5,0.8,3.3
930483358378690385,False,False,False,False,True,False,Entire home/apt,8.0,4.0,2.0,2.0,2.7926078028747434,False,2910.0,189,79.0,within an hour,1.0,0.9,True,Honolulu,Primary Urban Center,21.27851,-157.83271,0,0.0,1,1125.0,1.0,38.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,40000.0,True,True,False,False,True,True,True,False,True,True,False,1,1,1,1,0,0,1,24.6,39.5,0.8,3.3
930485188103582769,False,False,False,False,True,False,Entire home/apt,8.0,0.0,2.0,2.0,2.7926078028747434,False,2910.0,189,79.0,within an hour,1.0,0.9,True,Honolulu,Primary Urban Center,21.27851,-157.83271,0,0.0,1,1125.0,1.0,51.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,40000.0,True,True,False,False,True,True,True,False,True,True,False,1,1,1,1,0,0,1,24.6,39.5,0.8,3.3
930487243496112493,False,False,False,False,True,False,Entire home/apt,8.0,4.0,2.0,2.0,2.7926078028747434,False,2910.0,189,79.0,within an hour,1.0,0.9,True,Honolulu,Primary Urban Center,21.27851,-157.83271,0,0.0,1,1125.0,1.0,124.9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,40000.0,True,True,False,False,True,True,True,False,True,True,False,1,1,1,1,0,0,1,24.6,39.5,0.8,3.3
931147428643467830,False,False,False,False,False,False,Entire home/apt,2.0,1.0,1.0,1.0,5.71937029431896,False,2.0,2,2.0,within a day,0.67,0.33,True,Honolulu,North Shore Oahu,21.633819900843104,-158.04200817571467,364,29.0,29,370.0,29.0,370.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,85.0,False,False,True,True,False,False,False,True,True,False,True,1,1,1,1,0,0,1,62.7,64.7,65.7,68.5
931162712062283217,False,False,False,False,False,False,Private room,1.0,1.0,1.0,1.0,2.9568788501026693,True,3.0,2,0.0,within an hour,1.0,1.0,True,Honolulu,East Honolulu,21.276231109609007,-157.70365184206315,61,1.0,30,365.0,30.0,365.0,4,1,0.0,0.16,5.0,4.5,5.0,5.0,False,53.0,False,True,True,True,False,True,True,True,True,False,True,0,0,0,0,0,0,0,37.7,40.6,16.0,24.4
